CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_FREQUENCY	GERMAN_SUBTITLE_FREQUENCY	GERMAN_FREQUENCY_LOG	LINE_IN_SOURCE
10	FIREWOOD	Brennholz	16	0.6300	1.2300	36978
1001	BLACKSMITH	Schmied	43	1.6900	1.6430	19546
1007	COW	Kuh	666	26.3000	2.8250	2581
1008	BULL	Bulle	666	26.2600	2.8250	2586
101	BOAST	prahlen	23	0.9800	1.4150	27694
1011	BRIDGE	Brücke	1082	42.9200	3.0380	1737
1013	FRESHWATER EEL	Aal	28	1.1000	1.4620	25753
1014	OR	oder	45933	2137.0500	4.7350	72
1018	MEMORY	Gedächtnis	535	21.1000	2.7300	3077
1019	RIGHT	rechts	1438	67.7600	3.2360	1183
1021	TOWEL	Handtuch	363	14.2900	2.5610	4139
1024	CHARACTER	Buchstabe	41	1.6100	1.6230	20240
1025	WHISTLE	Pfeiffen	2	0.0800	0.4770	113711
1033	GRIND	mahlen	2	0.1200	0.6020	100242
1035	GOOD	gut	54294	2839.8400	4.8580	53
1038	TEACHER	Lehrer	1338	52.9900	3.1290	1473
1039	SHOW	zeigen	4687	206.5000	3.7200	515
1040	HAIR	Haar	1125	44.6100	3.0550	1690
1041	INCREASE	zunehmen	35	1.4200	1.5680	22053
1042	CARPENTER	Zimmermann	57	2.2400	1.7630	16165
1044	PILLOW	Kissen	281	11.1400	2.4530	4947
1045	POET	Dichter	171	8.5800	2.3400	6115
1046	SHUT	schließen	982	53.1500	3.1310	1465
1048	LINE	Linie	579	23.0700	2.7690	2886
1050	MOTHER-IN-LAW	Schwiegermutter	85	3.3900	1.9400	12121
1052	LIGHT (WEIGHT)	leicht	2957	120.2800	3.4850	759
1053	HUNTER	Jäger	379	15.1200	2.5850	3967
1055	FATHER-IN-LAW	Schwiegervater	61	2.4000	1.7920	15388
1056	SON-IN-LAW	Schwiegersohn	84	3.3900	1.9400	12122
1057	DAUGHTER-IN-LAW	Schwiegertochter	85	3.3500	1.9340	12208
1064	SHIELD	Schild	550	21.9700	2.7470	2984
1069	GLUE	kleben	128	5.3500	2.1370	8709
1070	BUS	Bus	1314	51.9300	3.1210	1490
1071	HOOK	Haken	399	15.7900	2.6040	3830
1075	TRAP (PITFALL)	Falle	1043	49.8800	3.1030	1541
1076	EMERGE (APPEAR)	erscheinen	477	21.1000	2.7300	3078
1082	MERCHANT	Kaufmann	48	1.8900	1.6900	18193
1084	CALL	rufen	1913	112.0900	3.4550	799
1085	FOLLOW	folgen	1827	109.2600	3.4430	816
1086	WORK (ACTIVITY)	arbeiten	5685	245.6800	3.7950	433
1088	SINK (DESCEND)	versinken	54	2.1700	1.7480	16512
109	FOREIGN	fremd	172	7.0900	2.2580	7089
1093	MIDDLE	Mitte	715	28.7400	2.8640	2402
1096	SONG	Lied	1423	57.0100	3.1610	1381
1098	WEIGH	wiegen	70	2.9900	1.8860	13228
1100	COOK (SOMETHING)	zubereiten	48	1.9300	1.6990	17843
1102	CLIMB	steigen	662	38.7400	2.9930	1890
1106	FALL ASLEEP	einschlafen	161	7.9900	2.3100	6451
1109	WOUND	Wunde	452	18.5000	2.6730	3376
1111	CAR	Auto	6811	271.7000	3.8390	393
1112	SUCCEED	gelingen	88	3.9400	2.0040	10950
1113	WRAP	einwickeln	30	1.1800	1.4910	24479
1116	DAMAGE	beschädigen	37	1.4600	1.5800	21558
1117	LIKE	mögen	2328	105.3200	3.4270	844
1119	DIVIDE	teilen	1174	55.5100	3.1500	1417
112	TURTLE	Schildkröte	332	13.1900	2.5260	4387
1127	SEND	schicken	2194	104.7700	3.4250	849
1129	PAINFUL	schmerzhaft	199	8.3100	2.3260	6263
1132	BEAM	Strahl	121	4.8800	2.0970	9353
1133	MATCH	Streichholz	62	2.4400	1.7990	15157
1135	KICK	treten	954	48.8200	3.0940	1566
1139	LEOPARD	Leopard	48	1.8900	1.6900	18048
1142	URINE	Harn	2	0.0800	0.4770	129722
1145	SWAMP	Sumpf	143	5.6700	2.1610	8357
1146	AUBERGINE	Aubergine	8	0.3100	0.9540	54622
1147	PURE	rein	9883	409.3100	4.0170	276
1150	THUNDER	Donner	180	7.6400	2.2900	6674
1154	OLIVE	Olive	36	1.4200	1.5680	21871
1155	CAVE	Höhle	527	21.0600	2.7290	3082
1156	OPEN	öffnen	1442	71.3800	3.2590	1141
1157	BECAUSE	weil	17549	1070.9100	4.4350	135
1160	THIEF	Dieb	754	29.8800	2.8810	2320
1161	THREAD	Faden	152	6.3400	2.2100	7703
1165	MOUSTACHE	Schnurrbart	126	4.9600	2.1040	9199
1171	MIRROR	Spiegel	675	26.7300	2.8330	2556
1172	SHOOT	schießen	1791	90.3600	3.3610	944
1174	YESTERDAY	gestern	3727	184.5300	3.6710	562
1176	SPADE	Spaten	13	0.5100	1.1460	42077
1179	DAY AFTER TOMORROW	übermorgen	129	7.8300	2.3010	6548
1180	DAY BEFORE YESTERDAY	vorgestern	71	3.9000	2.0000	10995
1182	NOISE	Lärm	410	16.4200	2.6210	3722
1183	PALM OF HAND	Handfläche	32	1.2600	1.5190	23609
1185	VULTURE	Geier	168	6.6500	2.2300	7406
1187	GOOSE	Gans	124	4.8800	2.0970	9350
119	DIVE	tauchen	204	11.4600	2.4650	4851
1190	HARE	Hase	195	7.6800	2.2920	6646
1194	BEAVER	Biber	30	1.1800	1.4910	24595
1198	MANY	viel	24372	1075.2000	4.4360	132
1199	WIFE	Ehefrau	355	14.1300	2.5560	4173
12	MIDDAY	Mittag	558	22.5600	2.7590	2931
1200	HUSBAND	Ehemann	1124	44.5300	3.0540	1694
1201	FEATHER	Feder	314	12.4000	2.5000	4567
1202	BIG	groß	2876	134.3000	3.5330	692
1203	LONG	lang	5743	241.5400	3.7880	439
1204	BARK	Rinde	22	0.8700	1.3620	30243
1205	TONGUE	Zunge	776	30.7100	2.8930	2279
1206	BARKING	bellen	70	4.9200	2.1000	9266
1207	YOUNG	jung	1415	64.6100	3.2150	1236
1208	CAT	Katze	1100	43.7400	3.0460	1713
1209	I	Ich	489637	36633.2900	5.9690	1
1210	HEAVY	schwer	4967	206.6600	3.7200	512
1211	HE	er	121771	8452.3000	5.3320	15
1212	WE	wir	166009	11034.6100	5.4480	12
1213	YOU	ihr	67939	3594.9100	4.9610	45
1214	THIS	dieser	19662	1004.6500	4.4070	140
1215	THOU	du	342560	19943.9000	5.7050	5
1216	MOTHER	Mutter	14405	568.9600	4.1600	214
1217	FATHER	Vater	16542	654.7900	4.2210	181
1219	WORM	Wurm	175	6.8900	2.2460	7212
1220	TAIL	Schwanz	882	35.0000	2.9490	2042
1221	NOSE	Nase	1794	70.7900	3.2550	1146
1223	HEART	Hertz	11	0.4700	1.1140	44525
1224	LIVER	Leber	340	13.4700	2.5350	4325
1225	DAY (NOT NIGHT)	Tag	16315	649.8300	4.2180	185
1226	YEAR	Jahr	5361	213.7900	3.7350	496
1227	BOARD	Brett	395	15.5500	2.5980	3876
1228	EARTH (SOIL)	Erde	3303	131.3400	3.5230	706
1229	OLD	alt	3956	160.1200	3.6090	616
123	FOREHEAD	Stirn	289	11.3800	2.4620	4876
1230	DIRTY	schmutzig	363	15.0400	2.5830	3981
1231	NEW	neu	2041	87.9200	3.3490	960
1232	WARM	warm	819	33.9800	2.9370	2107
1233	NIGHT	Nacht	12177	491.4400	4.0960	240
1234	SMOOTH	glatt	322	12.9100	2.5170	4461
1235	WHO	Wer	22770	1354.6600	4.5370	107
1236	WHAT	Was	146767	11046.3000	5.4480	11
1237	WHERE	Wo	27397	1913.5000	4.6870	76
1238	WHEN	Wann	4722	322.5700	3.9130	334
1239	HOW	wie	91198	5972.1200	5.1810	21
124	THORN	Dorn	46	1.8100	1.6720	18661
1240	NOT	nicht	422376	17470.0600	5.6470	6
1243	WIDE	weit	6564	269.4600	3.8350	396
1245	BUTTER	Butter	267	10.5500	2.4300	5175
1246	SMALL	klein	1818	78.1100	3.2980	1055
1247	EAR	Ohr	754	29.8400	2.8800	2324
1248	EYE	Auge	2317	92.0500	3.3690	933
1250	JAGUAR	Jaguar	33	1.3000	1.5310	23124
1251	BELLY	Bauch	791	31.2200	2.9000	2251
1252	HOUSE	Haus	10265	406.4300	4.0140	277
1254	HANDLE	Griff	567	28.2700	2.8570	2444
1255	SNOWING	schneien	52	2.0900	1.7320	16868
1256	HEAD	Kopf	8137	321.8200	3.9120	336
1257	WING	Flügel	499	20.1600	2.7100	3173
1258	FINGERNAIL	Fingernagel	12	0.4700	1.1140	43588
1259	WEDDING	Hochzeit	1564	62.2500	3.1990	1284
1261	SING	singen	1283	61.1400	3.1910	1306
1262	BROTHER	Bruder	8760	346.5100	3.9450	318
1263	SISTER	Schwester	5617	222.5700	3.7520	470
1264	CHANGE	ändern	2721	108.8200	3.4420	818
1265	HIGH	hoch	4749	212.2500	3.7320	498
1267	NARROW	schmal	35	1.4600	1.5800	21602
1268	YES	Ja	105501	5980.7100	5.1820	19
1269	NO	Nein	77019	3662.9800	4.9690	43
127	EXTINGUISH	löschen	274	13.6600	2.5420	4285
1272	AUNT	Tante	1451	57.4000	3.1640	1369
1273	CANDLE	Kerze	171	6.7700	2.2380	7309
1274	SALT	salzig	49	2.4400	1.7990	15162
1276	AUTUMN	Herbst	189	7.6800	2.2920	6658
1277	HAND	Hand	5816	232.6500	3.7720	453
1279	FAT (OBESE)	dick	444	34.3300	2.9410	2083
1280	FALL	fallen	2254	98.7400	3.4000	890
1283	TODAY	heute	19929	962.7500	4.3880	146
1286	HOT	heiß	1829	87.0900	3.3450	969
1287	COLD	kalt	1905	80.5100	3.3110	1030
1288	CAP	Mütze	214	8.4300	2.3320	6190
1290	ELEPHANT	Elefant	180	7.3600	2.2740	6858
1291	BACK	Rücken	1696	73.5900	3.2720	1116
1292	BAD	schlecht	4816	196.1100	3.6970	533
1293	MISTAKE	Fehler	4012	159.4200	3.6070	619
1295	STICK	Stock	872	34.7300	2.9460	2055
1297	LEG	Bein	1285	50.9100	3.1120	1517
1298	NEWSPAPER	Zeitung	1145	45.3200	3.0610	1670
1300	COUNTRY	Land	5734	227.6900	3.7620	463
1301	FOOT	Fus	2	0.1200	0.6020	97930
1302	FORK	Gabel	115	4.5300	2.0640	9901
1303	FINGER	Finger	2118	84.1000	3.3300	994
1307	LANGUAGE	Sprache	871	36.8900	2.9720	1955
