CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_FREQUENCY	SPANISH_FREQUENCY_PM	SPANISH_FREQUENCY_LOG
10	FIREWOOD	leña	29.0	9.13673597983617	1.477121254719662
100	FAITHFUL	fiel	45.0	14.17769376181474	1.662757831681574
1001	BLACKSMITH	herrero	55.0	17.32829237555136	1.7481880270062
1002	STATUE	estatua	10.0	3.15059861373661	1.041392685158225
1005	TWINS	gemelos	24.0	7.561436672967864	1.397940008672037
1006	BRICK	ladrillo	13.0	4.095778197857593	1.146128035678238
1007	COW	vaca	93.0	29.30056710775047	1.973127853599699
1008	BULL	toro	112.0	35.28670447385003	2.05307844348342
1011	BRIDGE	puente	257.0	80.97038437303088	2.41161970596323
1012	LATCH	cerrojo	1.0	0.315059861373661	0.3010299956639812
1014	OR	o	18686.0	5887.208569628229	4.271539585593803
1019	RIGHT	derecha	363.0	114.3667296786389	2.561101383649056
102	COMMON COLD (DISEASE)	catarro	7.0	2.205419029615627	0.9030899869919436
1021	TOWEL	toalla	29.0	9.13673597983617	1.477121254719662
1022	BOOTY	botín	12.0	3.780718336483932	1.113943352306837
1025	WHISTLE	silbar	7.0	2.205419029615627	0.9030899869919436
1029	JEWEL	joya	21.0	6.616257088846881	1.342422680822206
1034	DEFENDANT	acusado	56.0	17.64335223692501	1.755874855672491
1035	GOOD	bueno	13673.0	4307.813484562067	4.135895575564019
1039	SHOW	mostrar	45.0	14.17769376181474	1.662757831681574
1042	CARPENTER	carpintero	10.0	3.15059861373661	1.041392685158225
1044	PILLOW	almohada	16.0	5.040957781978576	1.230448921378274
1045	POET	poeta	59.0	18.588531821046	1.778151250383644
1046	SHUT	cerrar	100.0	31.5059861373661	2.004321373782643
1047	PURSUE	perseguir	13.0	4.095778197857593	1.146128035678238
1048	LINE	línea	468.0	147.4480151228734	2.671172842715083
1051	CAN	lata	55.0	17.32829237555136	1.7481880270062
1061	ARMOUR	armadura	3.0	0.945179584120983	0.6020599913279624
1062	LAW	ley	829.0	261.184625078765	2.919078092376074
1063	NEPHEW	sobrino	50.0	15.75299306868305	1.707570176097936
