CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	STEDT_ID	SEMANTIC_CATEGORY	LINE_IN_SOURCE
10	FIREWOOD	firewood	203828	2c.3/1	2336
100	FAITHFUL	faithful	1220	5c/3.1	3834
1000	ANXIETY	anxiety	292712	5d/1.7.2	4435
1001	BLACKSMITH	smith	746	3a/3.1.4	2505
1002	STATUE	statue	126165	9d/	6182
1003	PERMIT	allow	1409	4f.1/	3490
1004	MUSCLE	muscle	10101	1a/6.6.2	560
1005	TWINS	twin	160436	3b/2	2625
1006	BRICK	brick	198167	9c/3	5916
1007	COW	cow	397	2a.1/1	1088
1008	BULL	bull	185645	2a.1/1	1085
101	BOAST	boast	1473	5f/15	4707
1010	BOUNDARY	boundary	50521	6j/7	5305
1011	BRIDGE	bridge	204287	6k/2	5362
1013	FRESHWATER EEL	eel	233239	2a.1/13	1205
1014	OR	or	21720	8/1.2.1	5468
1016	DRIZZLE	drizzle	170928	2c.1/4	2192
1017	APPEARANCE	appearance	150803	6c/	4872
1018	MEMORY	memory	128353	5d/1.16.1	4380
1019	RIGHT	right	182714	1a/5.	341
102	COMMON COLD (DISEASE)	common	1192	5c/7.2	4070
1020	HANDKERCHIEF	kerchief	76746	3c/2.2	2728
1021	TOWEL	towel	160288	3c/4	2765
1025	WHISTLE	whistle	2083	5f/5	4776
1027	BUG	bug	457	2a.1/14	1235
1028	YAWN	gape	283588	1b/3.1	921
1029	JEWEL	jewel	62	3c/3	2749
1030	NECESSARY	necessary	170566	6d/2	4969
1033	GRIND	grind	212651	6c/	4917
1035	GOOD	good	223820	5c/8.1	4085
1036	OWNER	owner	246498	4f.1/	3520
1038	TEACHER	teacher	195872	4f.1/	3535
1039	SHOW	show	1967	4a/2.8	2954
1040	HAIR	hair	588	1a/2.3	119
1041	INCREASE	increase	21607	6c/	4920
1042	CARPENTER	carpenter	195515	3a/3.1.4	2499
1043	BRAID	braid	213365	1a/2.3.2	126
1044	PILLOW	cushion	78053	9c/4	5957
1046	SHUT	shut	1969	4a/1.6	2797
1047	PURSUE	chase	1509	4b.4/10	3169
1048	LINE	line	21456	6e/	4989
1049	MOLAR TOOTH	molar	9961	1a/3.4.2	250
1050	MOTHER-IN-LAW	mother-in-law	196892	3b/4	2654
1052	LIGHT (WEIGHT)	lightweight	9003	5c/2.1	3767
1053	HUNTER	hunter	734	4a/2.1	2825
1054	SMALLPOX	smallpox	194597	9a/1	5602
1055	FATHER-IN-LAW	father-in-law	196841	3b/4	2652
1056	SON-IN-LAW	son-in-law	197402	3b/4	2656
1057	DAUGHTER-IN-LAW	daughter-in-law	197351	3b/4	2651
106	SATIATED	satiated	178854	1a/1.3.2	37
1061	ARMOUR	armor	339644	9e/	6209
1062	LAW	law	244149	9d/	6121
1063	NEPHEW	nephew	197453	3b/3	2644
1064	SHIELD	shield	18531	9e/	6250
1065	SPIDER WEB	web	595	2a.1/14	1301
1066	CRIME	crime	807	4b.1/	3037
1067	JUDGMENT	judgment	243463	5d/3.3.1	4517
1068	COURT	court	272466	9d/	6081
1069	GLUE	glue	154517	9a/2	5611
107	OMEN	omen	848	9d/3.2	6055
1071	HOOK	hook	729	9a/2	5612
1072	PRISONER	prisoner	36587	9c/1	5905
1074	FISHHOOK	fish-hook	49783	2a.1/13	1208
1075	TRAP (PITFALL)	trap	728	9e/	6258
1076	EMERGE (APPEAR)	emerge	8969	4b.4/2	3196
1077	WHEAT	wheat	189548	2b.1/3.1	1536
1078	MAIN	main	305988	5c/7.1	4062
1079	FEEL	feel	21852	5e/	4606
1080	VULGAR	vulgar	114267	5c/3.1	3900
1082	MERCHANT	merchant	156375	3a/3.1	2486
1084	CALL	call	1493	5f/13	4684
1085	FOLLOW	follow	1687	4b.4/10	3174
1086	WORK (ACTIVITY)	work	675	4a/1	2780
1087	CONCEIVE	conceive	63769	1a/9.2	704
1088	SINK (DESCEND)	sink	1972	4b.3/	3139
109	FOREIGN	foreign	326995	3a/12.3	2442
1090	BE BORN	born	339491	1b/1.2	795
1091	SALTY	salty	225401	2c.1/5	2244
1092	HOPE	hope	1732	5d/1.7.1	4434
1093	MIDDLE	middle	182816	1a/9.3	710
1094	FASTEN	fasten	1672	4d.2/1.3	3427
1095	LET GO OR SET FREE	release	1920	4c.7/1.1	3366
1096	SONG	song	205358	9a/	5779
1097	ABANDON	abandon	1386	4c.7/1.2	3367
1098	WEIGH	weigh	2081	6g/	5053
11	DARKNESS	darkness	984	6b/	4849
1100	COOK (SOMETHING)	cooking	21246	9b/	5826
1101	SUFFER	suffer	2011	4a/	3020
1102	CLIMB	climb	1521	4b.4/7	3271
