CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	GERMAN_FREQUENCY	GERMAN_FREQUENCY_PM	GERMAN_FREQUENCY_LOG	LINE_IN_SOURCE
10	FIREWOOD	Brennholz	16	0.63	1.23	36978
100	FAITHFUL	treu	324	13.19	2.526	4394
1001	BLACKSMITH	Schmied	43	1.69	1.643	19546
1003	PERMIT	erlauben	605	28.54	2.861	2423
1004	MUSCLE	Muskel	48	1.89	1.69	18164
1005	TWINS	Zwilling	92	3.66	1.973	11483
1007	COW	Kuh	666	26.3	2.825	2581
1008	BULL	Bulle	666	26.26	2.825	2586
101	BOAST	prahlen	23	0.98	1.415	27694
1011	BRIDGE	Brücke	1082	42.92	3.038	1737
1012	LATCH	Riegel	70	2.8	1.857	13859
1013	FRESHWATER EEL	Aal	28	1.1	1.462	25753
1014	OR	oder	45933	2137.05	4.735	72
1018	MEMORY	Gedächtnis	535	21.1	2.73	3077
1019	RIGHT	rechts	1438	67.76	3.236	1183
1021	TOWEL	Handtuch	363	14.29	2.561	4139
1024	CHARACTER	Buchstabe	41	1.61	1.623	20240
1025	WHISTLE	Pfeifen	114	8.35	2.328	6236
1028	YAWN	Gähnen	10	0.67	1.255	35552
1029	JEWEL	Edelsteine	12	0.47	1.114	44209
1032	CITIZEN	Bürger	539	21.3	2.734	3058
1033	GRIND	mahlen	2	0.12	0.602	100242
1035	GOOD	gut	54294	2839.84	4.858	53
1038	TEACHER	Lehrer	1338	52.99	3.129	1473
1039	SHOW	zeigen	4687	206.5	3.72	515
1040	HAIR	Haar	1125	44.61	3.055	1690
1041	INCREASE	zunehmen	35	1.42	1.568	22053
1042	CARPENTER	Zimmermann	57	2.24	1.763	16165
1044	PILLOW	Kissen	281	11.14	2.453	4947
1045	POET	Dichter	171	8.58	2.34	6115
1046	SHUT	schließen	982	53.15	3.131	1465
1047	PURSUE	verfolgen	988	41.89	3.027	1774
1048	LINE	Linie	579	23.07	2.769	2886
1049	MOLAR TOOTH	Backenzahn	3	0.16	0.699	81193
1050	MOTHER-IN-LAW	Schwiegermutter	85	3.39	1.94	12121
1052	LIGHT (WEIGHT)	leicht	2957	120.28	3.485	759
1053	HUNTER	Jäger	379	15.12	2.585	3967
1054	SMALLPOX	Blattern	2	0.08	0.477	123583
1055	FATHER-IN-LAW	Schwiegervater	61	2.4	1.792	15388
1056	SON-IN-LAW	Schwiegersohn	84	3.39	1.94	12122
1057	DAUGHTER-IN-LAW	Schwiegertochter	85	3.35	1.934	12208
106	SATIATED	satt	765	30.59	2.891	2288
1062	LAW	Recht	7552	459.74	4.067	256
1063	NEPHEW	Neffe	240	9.65	2.391	5562
1064	SHIELD	Schild	550	21.97	2.747	2984
1066	CRIME	Verbrechen	1202	47.68	3.084	1606
1068	COURT	Gericht	1135	45.4	3.062	1667
1069	GLUE	kleben	128	5.35	2.137	8709
1070	BUS	Bus	1314	51.93	3.121	1490
1071	HOOK	Haken	399	15.79	2.604	3830
1072	PRISONER	Gefangener	232	9.37	2.378	5689
1074	FISHHOOK	Angel	401	16.02	2.611	3788
1075	TRAP (PITFALL)	Falle	1043	49.88	3.103	1541
1076	EMERGE (APPEAR)	erscheinen	477	21.1	2.73	3078
1079	FEEL	fühlen	2277	97.21	3.393	899
1082	MERCHANT	Kaufmann	48	1.89	1.69	18193
1084	CALL	rufen	1913	112.09	3.455	799
1085	FOLLOW	folgen	1827	109.26	3.443	816
1086	WORK (ACTIVITY)	arbeiten	5685	245.68	3.795	433
1088	SINK (DESCEND)	sinken	150	6.58	2.225	7494
109	FOREIGN	fremd	172	7.09	2.258	7089
1091	SALTY	salzig	49	2.44	1.799	15162
1092	HOPE	hoffen	805	38.27	2.988	1905
1093	MIDDLE	Mitte	715	28.74	2.864	2402
1094	FASTEN	festigen	23	0.91	1.38	29510
1095	LET GO OR SET FREE	entlassen	718	29.61	2.877	2340
1096	SONG	Lied	1423	57.01	3.161	1381
1098	WEIGH	wiegen	70	2.99	1.886	13228
11	DARKNESS	Dunkelheit	621	24.96	2.803	2702
1100	COOK (SOMETHING)	kochen	639	33.11	2.925	2149
1102	CLIMB	klettern	163	7.4	2.276	6832
1103	SACRIFICE	Opfer	1876	74.65	3.278	1101
1105	CAMP	Lager	807	32.13	2.912	2196
1106	FALL ASLEEP	einschlafen	161	7.99	2.31	6451
1107	GO OUT	herauskommen	91	3.66	1.973	11500
1109	WOUND	Wunde	452	18.5	2.673	3376
1110	SHARK	Haifisch	4	0.2	0.778	71663
1111	CAR	Auto	6811	271.7	3.839	393
1112	SUCCEED	gelingen	88	3.94	2.004	10950
1113	WRAP	einwickeln	30	1.18	1.491	24479
1114	BULLET	Kugel	1135	44.8	3.057	1682
1115	SPEECH	vortragen	59	2.52	1.813	14911
1116	DAMAGE	beschädigen	37	1.46	1.58	21558
1117	LIKE	mögen	2328	105.32	3.427	844
1119	DIVIDE	teilen	1174	55.51	3.15	1417
112	TURTLE	Schildkröte	332	13.19	2.526	4387
1120	HONEST	ehrlich	2617	157.84	3.603	623
1121	SECRET	geheim	540	22.95	2.766	2893
1122	WAGES	Lohn	258	10.2	2.415	5333
1123	PREGNANT	schwanger	1252	51.66	3.118	1499
1125	BALD	kahl	45	1.89	1.69	18109
1127	SEND	schicken	2194	104.77	3.425	849
1128	ORDER	Befehlen	163	12.28	2.496	4604
1129	PAINFUL	schmerzhaft	199	8.31	2.326	6263
1132	BEAM	Strahl	121	4.88	2.097	9353
1133	MATCH	Streichholz	62	2.44	1.799	15157
1134	DIVORCE	Scheidung	449	17.8	2.656	3487
1135	KICK	treten	954	48.82	3.094	1566
1138	FAIRY	Fee	139	5.47	2.146	8572
1139	LEOPARD	Leopard	48	1.89	1.69	18048
1142	URINE	Urin	143	5.63	2.158	8393
1145	SWAMP	Sumpf	143	5.67	2.161	8357
1146	AUBERGINE	Aubergine	8	0.31	0.954	54622
1149	ORPHAN	Waise	72	2.91	1.875	13435
1150	THUNDER	Donner	180	7.64	2.29	6674
1154	OLIVE	Olive	36	1.42	1.568	21871
1155	CAVE	Höhle	527	21.06	2.729	3082
1156	OPEN	öffnen	1442	71.38	3.259	1141
1157	BECAUSE	weil	17549	1070.91	4.435	135
1159	FART	furzen	30	1.57	1.613	20318
1160	THIEF	Dieb	754	29.88	2.881	2320
1161	THREAD	Faden	152	6.34	2.21	7703
1165	MOUSTACHE	Schnurrbart	126	4.96	2.104	9199
117	IMITATE	nachahmen	32	1.38	1.556	22366
1171	MIRROR	Spiegel	675	26.73	2.833	2556
1172	SHOOT	schießen	1791	90.36	3.361	944
1173	EYEBROW	Augenbrauen	127	5	2.107	9169
1174	YESTERDAY	gestern	3727	184.53	3.671	562
1175	GHOST	Totenseele	1	0.04	0.301	158394
1176	SPADE	Spaten	13	0.51	1.146	42077
1178	NOSTRIL	Nasenloch	12	0.47	1.114	43577
