CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	STEDT_ID	SEMANTIC_CATEGORY	LINE_IN_SOURCE
110	MOTOR	motor	277602	9a/	5729
1100	COOK (SOMETHING)	cook	18773	9b/	5824
1101	SUFFER	suffer	2011	4a/	3020
1102	CLIMB	climb	1521	4b.4/7	3271
1103	SACRIFICE	sacrifice	38	9d/1.3	6024
1104	NURSE	nurse	63636	3a/3.1.5	2510
1105	CAMP	camp	35915	6k/5	5419
1107	GO OUT	out	157063	6j/	5343
1108	UNCOVER	uncover	292689	4a/2.1	2888
1109	WOUND	wound	886	1a/8.7.1	673
1111	CAR	car	204440	9a/	5661
1112	SUCCEED	succeed	2009	4a/	3019
1113	WRAP	wrap	213773	4a/2.1	2895
1114	BULLET	bullet	201635	9e/	6222
1115	SPEECH	speech	42265	1a/8.8	676
1117	LIKE	like	216680	5d/1.1.1	4190
1119	DIVIDE	divide	215813	4c.7/4	3386
112	TURTLE	turtle	11169	2a.1/12	1198
1120	HONEST	honest	1250	5d/3.4.1	4521
1121	SECRET	secret	1332	5f/4.2	4748
1122	WAGES	wages	204899	9d/	6204
1123	PREGNANT	pregnant	612	1a/9.2	705
1124	PIPE	pipe	389	9d/	6158
1125	BALD	bald	1175	1b/2.3.3	866
1127	SEND	send	1957	4a/2.2	2921
1128	ORDER	order	1840	5f/1	4632
1129	PAINFUL	painful	1301	1b/1.3	816
113	SHORE	shore	80188	2c.1/4	2213
1132	BEAM	beam	197912	9c/	5991
1133	MATCH	match	203675	2c.3/1	2342
1134	DIVORCE	divorce	1610	9d/	6095
1135	KICK	kick	208775	4a/2.3.4	2939
1136	RABBIT	rabbit	186131	2a.1/16	1324
1137	TENDON	tendon	16740	1a/6.6.1	554
1139	LEOPARD	leopard	186386	2a.1/7	1400
1140	FATIGUE	fatigue	217	5d/1.11.10	4247
1141	PITY	pity	1863	5d/2.3.2	4469
1142	URINE	urine	194393	1a/8.5	654
1143	OVEN	oven	18749	9b/	5860
1144	WITNESS	witness	56060	3a/3.3	2524
1145	SWAMP	swamp	64994	2c.1/6	2284
1146	AUBERGINE	eggplant	190415	2b.1/3.2	1546
1147	PURE	pure	856	5c/8.1	4088
1148	BRUISE	bruise	151779	1a/6.2	485
1149	ORPHAN	orphan	22340	3a/9.2	2589
1150	THUNDER	thunder	180215	2c.1/1	2110
1151	VEIL	veil	290737	3c/2.1.1	2699
1152	BEGET	beget	20525	1b/1.2	794
1153	CATTLE	cattle	396	2a.1/1	1087
1155	CAVE	cave	181643	2c.1/8	2296
1156	OPEN	open	1837	4a/2.6.1	2946
1157	BECAUSE	because	162	8/1.2.2	5469
1158	STEP	step	10091	4b.4/4	3233
1159	FART	fart	194444	1a/8.6.2	664
1160	THIEF	thief	799	3a/11.1	2404
1161	THREAD	thread	201431	9a/	5789
1162	INTENTION	intention	291719	5d/1.13.2	4356
1165	MOUSTACHE	moustache	10596	1a/2.5.5	161
1166	MOULD	mould	272813	2b.1/4.1	2026
1167	GRUEL	gruel	200156	9b/	5845
1169	OX	ox	49062	2a.1/1	1095
117	IMITATE	imitate	1739	4a/1.1.2	2786
1171	MIRROR	mirror	203318	3c/3	2752
1172	SHOOT	shoot	215048	4a/2.1	2867
1173	EYEBROW	eyebrow	192047	1a/2.6.6	191
1174	YESTERDAY	yesterday	184550	6i/2	5200
1175	GHOST	ghost	10030	3a/11.2	2408
1176	SPADE	spade	201278	9a/1	5603
1177	DIARRHEA	diarrhea	10322	1a/8.6	655
1178	NOSTRIL	nostril	527	1a/2.8.1	213
118	BEWITCH	bewitch	121935	5d/1.15	4369
1182	NOISE	noise	19113	5c/4.3	3939
1183	PALM OF HAND	palm	544	1a/5.6	414
1185	VULTURE	vulture	18178	2a.1/11.2	1177
1187	GOOSE	goose	187049	2a.1/11.1	1125
1188	CHARCOAL	charcoal	141965	2c.1/5	2229
1189	ULCER	ulcer	35784	1a/8.7.1	671
119	DIVE	dive	1608	4b.4/8	3278
1190	HARE	hare	233130	2a.1/16	1320
1192	THREATEN	threaten	2037	5f/1	4640
1193	STEAM	steam	12046	4b.3/	3148
1195	GIVE BIRTH	give birth	329587	1b/1.2	796
1198	MANY	many	1109	6h/	5099
1199	WIFE	wife	197198	3b/4	2659
12	MIDDAY	noon	185264	6i/3	5217
120	PITCHER	pitcher	232	9b/	5867
1200	HUSBAND	husband	197147	3b/4	2653
1201	FEATHER	feather	188783	1a/6.1.1	479
1202	BIG	big	220760	6f/	5009
1203	LONG	long	221219	6f/	5025
1204	BARK	bark	1448	1b/8.9.4	1030
1205	TONGUE	tongue	192455	1a/3.3	235
1207	YOUNG	young	223718	5c/8.3	4167
1208	CAT	cat	186080	2a.1/7	1397
1209	I	I	229379	3a/2	2460
121	SPIN	spin	1990	4b.4/6	3259
1210	HEAVY	heavy	222290	6d/2	4968
1211	HE	he	11855	3a/2	2456
1212	WE	we	229481	3a/2	2474
1213	YOU	you	1077	3a/2	2475
1214	THIS	this	229991	8/4.3.2	5508
1215	THOU	thou	1078	8/2.3.1	5486
1216	MOTHER	mother	196280	3b/1	2608
1217	FATHER	father	196229	3b/1	2597
1218	ROPE	rope	201482	9a/	5764
1219	WORM	worm	443	2a.1/14	1303
1220	TAIL	tail	188987	1a/4.10.1	279
1221	NOSE	nose	192200	1a/2.8	209
1222	PENIS	penis	8837	1a/9.7	754
1223	HEART	heart	193832	1a/7.1	573
1224	LIVER	liver	193883	1a/7.3	584
1225	DAY (NOT NIGHT)	day	989	6i/2	5183
1226	YEAR	year	183173	6i/1	5179
1227	BOARD	board	11788	9c/	5992
1228	EARTH (SOIL)	earth	180827	2c.1/12	2154
1229	OLD	old	1296	5c/8.3	4145
123	FOREHEAD	forehead	191843	1a/2.5.1	145
1230	DIRTY	dirty	223514	2c.1/12	2151
1231	NEW	new	224126	5c/5.1	3993
1232	WARM	warm	225095	5c/2.4	3807
1233	NIGHT	night	185315	6i/3	5215
1234	SMOOTH	smooth	224942	5c/4.2	3933
1235	WHO	who	230195	8/6.1	5526
1236	WHAT	what	230246	8/6.1	5513
1237	WHERE	where	230348	8/6.1	5519
1238	WHEN	when	2114	8/6.1	5516
1239	HOW	how	65	8/1	5445
124	THORN	thorn	191690	2b.1/1.2	1479
1240	NOT	not	142077	8/7	5534
1241	SOME	some	2171	6h/	5138
1242	FEW	few	1110	6h/	5080
1243	WIDE	wide	221525	5c/2.1	3779
1244	THICK	thick	221321	6f/	5034
1245	BUTTER	butter	18260	1a/6.4.1	507
1246	SMALL	small	220811	6f/	5031
1247	EAR	ear	192251	1a/2.7	198
1248	EYE	eye	192098	1a/2.6	166
125	SWEAT (SUBSTANCE)	sweat	194088	1a/8.2	619
1250	JAGUAR	wildcat	233685	2a.1/7	1407
1251	BELLY	belly	193220	1a/4.7	312
1252	HOUSE	house	197708	9c/1	5892
1254	HANDLE	handle	32288	9a/	5698
1256	HEAD	head	191792	1a/2.1	91
1257	WING	wing	188682	1a/5.10	350
1258	FINGERNAIL	fingernail	193016	1a/5.17.1	378
126	SWEAT (PERSPIRE)	perspire	1860	1b/8.2	1004
1261	SING	sing	214793	9a/	5775
1262	BROTHER	brother	633	3b/2	2614
1263	SISTER	sister	634	3b/2	2621
1264	CHANGE	change	1508	6c/	4882
1265	HIGH	high	1248	5c/5.3	4029
1266	BRIDE	bride	18808	3a/7.2	2566
1267	NARROW	narrow	221576	5c/2.2	3797
1268	YES	yes	2165	8/7	5535
1269	NO	No	12235	8/7.2	5542
127	EXTINGUISH	extinguish	1664	2c.2/	2317
1270	WHY	why	2160	8/6.1	5532
1271	DELIGHT	please	21708	5d/1.1.1	4195
1272	AUNT	aunt	638	3b/1	2594
1273	CANDLE	candle	203624	2c.3/1	2327
1274	SALT	salt	200258	2c.1/5	2242
1275	ANSWER	answer	215201	5f/6	4778
1276	AUTUMN	autumn	183632	6i/1	5165
1277	HAND	hand	192761	1a/5.1	343
1278	VOMIT	vomit	207653	1a/8.4.2	644
1280	FALL	fall	205	4b.4/8	3279
1281	PRISON	prison	802	9c/1	5904
1282	FAT (FROM ANIMALS)	lard	155691	1a/6.4.1	510
1283	TODAY	today	184499	6i/2	5195
1284	BANK	bank	204797	6k/2	5361
1285	IMPORTANT	important	105	5c/7.1	4061
1286	HOT	hot	224993	1b/1.5.1	850
1287	COLD	cold	225044	5c/2.4	3803
1288	CAP	cap	18505	3c/2.1.1	2687
1289	BABY	baby	598	3a/9.1	2583
129	CHOKE	choke	211019	1b/3.5.6	942
1290	ELEPHANT	elephant	186233	2a.1/5	1382
1291	BACK	back	9906	1a/4.8	318
1292	BAD	bad	223871	5c/8.2	4105
1293	MISTAKE	mistake	1814	4a/	2998
1294	ZERO	zero	228053	6h/	5161
1295	STICK	stick	201839	2b.1/1.2	1476
1296	WALKING STICK	staff	282036	9a/	5782
1297	LEG	leg	193424	1a/5.9	454
1298	NEWSPAPER	newspaper	21294	9a/	5735
13	DECEIT	deceit	18658	5d/3.4.4.2	4534
1300	COUNTRY	country	11791	6k/3	5375
1301	FOOT	foot	193373	1a/5.2	392
1302	FORK	fork	72276	1a/4.9.1	332
1303	FINGER	finger	192965	1a/5.7	417
1305	CHIMNEY	chimney	35932	9c/3.2	5943
1306	QUEEN	queen	69094	3a/5	2540
1307	LANGUAGE	language	206021	9d/	6120
1308	DOUBT	doubt	1612	5d/1.12.1	4326
1309	ASK (INQUIRE)	ask	12060	5f/7.1	4783
131	FESTIVAL	festival	19035	9d/	6104
1310	CLEVER	clever	18385	5c/3.1	3823
1311	VERY	very	230807	5c/8.3	4166
1312	FOX	fox	186692	2a.1/6	1389
1313	MOON	moon	180113	2c.1/3	2181
1314	QUIET	quiet	1312	5c/8.3	4155
1315	RADIO	radio	309557	9d/	6166
1316	TENT	tent	79902	9c/5	5981
1318	CHICKEN	chicken	186845	2a.1/11.1	1115
1319	COWARD	coward	1195	3a/11.3	2413
1320	APPLE	apple	19046	2b.1/3.2	1537
1321	BOTTLE	bottle	202961	9a/	5656
1322	BREAKFAST	breakfast	200003	9b/	5814
1323	CLOCK	clock	238987	9c/4	5955
1324	SLIP	slip	1976	4b.4/3	3214
1325	FRIEND	friend	195056	3a/12.2	2433
1326	DOWN	down	932	6j/2	5279
1327	UNCLE	uncle	18790	3b/1	2613
1329	TOMORROW	tomorrow	184652	6i/2	5196
133	WEAVE	weave	211223	9a/	5803
1330	DEFEND	defend	1577	4b.2/	3083
1331	SHEEP	sheep	185978	2a.1/4	1377
1332	NEIGHBOUR	neighbor	670	3a/12.2	2437
1333	NECK	neck	192608	1a/4.2	285
1334	GUTS	guts	8816	1a/7.7	609
1335	WHITE	white	222800	6b/	4865
1336	EAT	eat	207143	1b/3.5.7	951
1337	PIG	pig	185825	2a.1/3	1358
1338	PEACE	peace	767	9d/	6153
1339	MORNING	morning	185213	6i/3	5214
134	FAULT	fault	281827	5a/	3623
1340	WITH	with	2183	8/1.1	5463
1342	SUMMER	summer	183581	2c.1/1	2109
1343	SUN	sun	180062	2c.1/11	2140
1344	RAM	ram	233132	2a.1/4	1375
1345	EWE	ewe	36032	2a.1/4	1366
1346	THROAT	throat	192659	1a/3.5	257
1347	NAPE (OF NECK)	nape	35651	1a/4.2.1	286
1348	BOAR (MALE PIG)	boar	186437	2a.1/3	1355
1350	MONKEY	monkey	186488	2a.1/10	1104
1352	KNIFE	knife	200819	9b/	5849
1353	HOUR	hour	285542	6i/3	5207
1354	NEXT	next	1292	6h/	5102
1355	LAUGH	laugh	216527	1a/8.9	680
1356	NUMBER	number	20822	6h/	5115
1357	DAUGHTER	daughter	197300	3b/3	2632
1358	ENEMY	enemy	195107	3a/6	2552
1359	SEPARATE	separate	1958	4c.7/4	3393
136	HERE	here	230042	6j/3	5287
1360	DUCK	duck	186998	2a.1/11.1	1120
1361	TOOL	tool	160249	9a/4	5639
1362	STREET	street	1064	6k/1	5358
1363	VOICE	voice	206072	5f/5	4775
1364	HEALTHY	healthy	1245	5c/3.1	3850
1365	KITCHEN	kitchen	268	9b/	5847
1366	BOY	boy	169117	1a/9.9.4	778
1367	CROSS	cross	1560	4b.4/10	3170
1368	BREAD	bread	21207	9b/	5813
1369	GOLD	gold	181745	2c.1/5	2234
1370	MONTH	month	183734	6i/1	5173
1371	KNEE	knee	561	1a/5.11.4	362
1372	MEDICINE	medicine	205919	9a/2	5616
1373	TEA	tea	500	2b.1/1.1	1445
1374	RING	ring	199085	3c/3	2756
1375	WINDOW	window	198014	9c/3	5929
1376	NOW	now	185366	6i/4	5234
1377	VISIT	visit	2065	4a/2.2	2929
1378	SPOON	spoon	11710	9b/	5880
138	BATHE	bathe	213110	4b.3/	3105
1380	TOOTH	tooth	192404	1a/3.4	241
1381	SHOE	shoe	199442	3c/1	2676
1382	NEEDLE (FOR SEWING)	needle	69506	2a.1/13	1215
1383	GRANDFATHER	grandfather	196127	3b/1	2598
1384	SECOND	second	172	6h/	5125
1385	PEPPER	pepper	157254	2b.1/3.3.1	1691
1386	LION	lion	95	2a.1/7	1401
1387	ARRIVE	arrive	217700	4b.4/1	3161
1388	SHADE	shadow	206480	2c.1/11	2138
1389	TOE	toe	565	1a/5.7	423
139	GUMS	gums	9939	1a/3.4.3	253
1390	WRONG	wrong	1381	5c/8.2	4131
1391	TOWN	town	11789	6k/3	5383
1392	LOUSE	louse	188222	2a.1/14	1277
1393	HORN (ANATOMY)	horn	188936	1a/2.2	111
1394	BONE	bone	569	1a/6.3	490
1395	ROUND	round	221117	6e/	4995
1396	SHARP	sharp	224330	4c.4/1	3319
1398	DRY	dry	224024	4b.3/	3121
1399	CLAY	clay	300	2c.1/12	2148
14	YOKE	yoke	201176	9e/	6265
140	PADDY FIELD	paddy	459	6k/4.0	5407
1400	THIN (SLIM)	slim	1344	5c/5.1	4002
1401	DRINK	drink	207194	1a/3.5.8	270
1402	BREAST	breast	143821	1a/4.4.2	302
1403	BITE	bite	207245	1b/3.4.4	929
1404	STRAIGHT	straight	221831	5c/5.1	4008
1405	NAME	name	206327	9d/	6136
1406	FAR	far	221627	5c/	4173
1407	BREATHE	breathe	1483	1b/1.2.2	805
1408	HEAR	hear	1722	1a/2.7.4	206
1409	SEE	see	206939	1a/2.6.9	196
1411	LIE (REST)	lie	12071	5f/10.4	4666
1412	RUDE	rude	1327	5c/10	3724
1413	PLAY	play	214640	4a/1.3	2787
1414	SQUEEZE	squeeze	9026	6c/	4939
1416	SIT	sit	209234	4a/1.4.1	2789
1417	KILL	kill	212243	4b.1/	3047
1418	DIG	dig	210407	4c.8/	3400
1419	FEAR (BE AFRAID)	fear	217190	5d/1.10.2	4211
1420	COUNT	count	211478	4a/2.2	2899
1421	SUCK	suck	2010	1a/3.2.1	229
1422	BE ALIVE	live	1795	1b/1.2.1	800
1423	FIGHT	fight	216119	4b.2/	3084
1424	YELLOW	yellow	222698	6b/	4867
1425	GREEN	green	222902	6b/	4852
1426	EXPENSIVE	expensive	224636	9d/	6101
1427	BEAUTIFUL	beautiful	223157	5c/3.2	3904
1428	BURNING	burning	55928	2c.2/	2315
1429	FULL	full	223106	1a/1.3.2	35
143	HUMID	moist	170806	4b.3/	3128
1430	STAR	star	180164	2c.1/3	2184
1431	FREEZE	freeze	1695	6c/	4915
1432	CUT	cut	210611	4c.4/2	3330
1433	HIT	hit	1729	4c.1/	3301
1434	STAB	stab	1995	4c.4/1	3325
1435	HUNT	hunt	214946	4a/2.1	2824
1436	SCRATCH	scratch	208265	1a/6.5.4	550
1437	SPLIT	split	18418	4c.4/2	3341
1438	FOOL	fool	93	5c/3.1	3837
1439	SWIM	swim	2024	4b.3/	3154
144	MACHINE	machine	21277	9a/	5725
1440	SPIT	spit	207602	1a/8.4	639
1441	FLY (MOVE THROUGH AIR)	fly	1685	2a.1/14	1250
1442	STAND	stand	208979	1b/5.2	982
1443	WALK	walk	209132	4b.4/4	3245
1445	TURN (SOMETHING)	turn over	73025	4b.4/6	3262
1446	COME	come	217547	4b.4/1	3163
1447	GIVE	give	1704	4f.5/	3601
1448	HOLD	hold	1731	4e.2/	3476
1449	RUB	rub	9025	5e/	4620
145	SORROWFUL	sorrowful	159105	5d/1.5.2	4410
1450	ROOM	room	135	9c/2	5914
1451	SMILE	smile	1979	1b/8.9	1022
1452	PUSH	push	208673	4a/2.3.1	2937
1453	WASH	wash	142298	4a/2.5.2	2941
1454	WIPE	wipe	211784	4a/2.1	2893
1455	PULL	pull	208622	4a/2.3.1	2936
1456	THROW	throw	208418	4c.9/	3414
1457	SEW	sew	1959	9a/	5770
1458	SAY	say	1948	1a/8.8	675
1459	IF	if	2176	8/1.2.2	5470
146	SUGAR CANE	sugarcane	190007	2b.1/3.2	1583
1460	IN	in	2180	8/1.1	5457
1461	AT	at	21179	8/	5552
1462	POT	pot	142090	9b/	5870
1463	DRUNK	drunk	219689	1b/3.5.8	962
1464	LADDER	ladder	203216	9a/2	5615
1465	BOX	box	141953	9a/	5658
1466	EXACT	exact	1218	5c/2.2	3786
1467	CIRCLE	circle	18234	6e/	4981
1468	LOOK FOR	search	214538	4a/2.2	2919
1469	WEEK	week	115	6i/2	5199
1470	FOLD	to fold	441290	1a/4.4.1	301
1471	WINTER	winter	183683	6i/1	5178
1472	KEY	key	202349	9a/	5712
1473	FIST	fist	192812	1a/5.1.1	349
1474	SEA	sea	180929	2c.1/4	2212
1475	COMB	comb	1525	1a/2.2.1	115
1476	CHAIR	chair	203063	9c/4	5954
1477	KEEP	keep	1771	4e.4/	3488
1478	WITHOUT	without	2103	8/1.1	5465
1480	BODY	body	191741	1a/1.1	1
1481	HAMMER	hammer	709	9a/4	5634
1482	SHOULDER	shoulder	192710	1a/4.3	289
1483	NINE	nine	226829	6h/	5103
1484	OIL (ORGANIC SUBSTANCE)	oil	200207	1a/6.4.1	511
1485	BELOW OR UNDER	below	11860	6j/2	5275
1487	POUR	pour	1878	4b.3/	3133
1488	FAUCET	tap	291348	4c.1/	3309
1489	CLOUD	cloud	180266	2c.1/1	2081
149	ITCHY	itchy	8984	1b/6.5.4	997
1490	RAT	rat	428	2a.1/16	1325
1491	MOUSE	mouse	18709	2a.1/16	1322
1492	DUMB	dumb	1213	5f/4.6	4752
1493	ONE	one	226421	6h/	5118
1494	DIE	die	219740	1b/1.6	860
1495	HAPPY	happy	1241	5d/1.5.1	4398
1496	GRANDMOTHER	grandmother	196178	3b/1	2599
1498	TWO	two	226472	6h/	5159
1499	JUICE	juice	243483	2b.1/3.3.3	1874
15	OTTER	otter	186743	2a.1/15	1314
150	WORRY	worry	21483	5d/1.7.2	4438
1500	FOUR	four	226574	6h/	5092
1501	BORE	bore	151546	4c.8/	3397
1502	GOAT	goat	185917	2a.1/4	1367
1503	SALIVA	saliva	10122	1a/8.4	638
1504	FLY (INSECT)	housefly	55849	2a.1/14	1266
1505	SPERM	sperm	329572	1a/9.7	755
1506	MEASURE	measure	211325	6g/	5047
1507	FRUIT	fruit	190823	2b.1/3.2	1549
1508	KING	king	21417	3a/5	2535
1509	MOSQUITO	mosquito	188375	2a.1/14	1282
151	RAZOR	razor	31697	3c/4	2761
1510	CHIN	chin	192557	1a/2.5.3	158
1511	ROOSTER	rooster	186896	2a.1/11.1	1130
1514	HEN	hen	186947	2a.1/11.1	1126
1515	TEN	ten	226880	6h/	5139
1517	WASP	wasp	234391	2a.1/14	1298
1518	STUPID	stupid	226115	5d/	4601
1519	RUN	run	209183	4b.4/4	3230
152	HOOF	hoof	188885	1a/5.4	411
1520	CRUSH	crush	1561	6c/	4898
1521	SEEM	seem	1954	5b/	3694
1522	SOCK	socks	199493	3c/2.1.3	2718
1523	FORGET	forget	216986	5d/1.16.1	4376
1524	WINE	wine	19059	2b.1/3.3.3	1918
1525	COAST	coast	123346	2c.1/6	2253
1526	MEAL	meal	21222	9b/	5853
1527	TICK	tick	121861	2a.1/14	1297
1528	FORGIVE	forgive	1691	5d/2.9.1	4506
1529	LAST (FINAL)	last	1267	6h/	5098
153	GREY	grey	11919	6b/	4853
1530	BOWL	bowl	202757	9a/	5657
1531	BRANCH	branch	191435	1a/5.3.1	406
1532	SHEAR	shear	275748	4c.4/2	3339
1533	BE HUNGRY	hungry	225707	1a/1.3	30
1534	FEVER	fever	881	1a/1.5.1	60
1535	SWORD	sword	20680	9e/	6255
1536	UNDERSTAND	understand	216833	5d/1.13.1	4352
1537	SPRINGTIME	spring	183530	4b.4/9	3296
1538	SCORPION	scorpion	234214	2a.1/14	1289
1539	BASKET	basket	730	9a/	5649
154	UDDER	udder	35783	1a/9.4	724
1540	EYELASH	eyelash	10099	1a/2.6.5	187
1541	CULTIVATE	cultivate	1563	2b.2/	2050
1542	ACCOMPANY	accompany	1391	4b.4/10	3168
1543	SNAIL	snail	233030	2a.1/13	1223
1544	SOMETIMES	sometimes	2121	6i/4	5243
1545	HOST	host	195158	3a/12.2	2435
1546	TWICE	twice	1151	6h/	5158
1547	SOUP	soup	200411	9b/	5877
1548	UGLY	ugly	223208	5c/3.2	3914
1549	TRIBE	tribe	48350	3a/12.2	2440
1550	PREVENT	prevent	1887	4a/2.1	2839
1551	FEMALE	female	625	1a/9.9.3	771
1552	GLOOMY	gloomy	171214	5c/8.2	4113
1553	MALE	male	216	1a/9.7.1	757
1554	MAN	man	11633	1a/9.7.1	758
1555	CHAMELEON	chameleon	233691	2a.1/12	1180
1556	YOLK	yolk	9965	1a/9.1	701
1557	BEGINNING	beginning	21361	6c/	4875
1558	SIMILAR	similar	168271	5c/7.1	4066
1559	MONEY	money	204695	9d/	6132
156	RED	red	222647	6b/	4858
1560	FACE	face	191996	1a/2.5	142
1561	ARMY	army	195668	9e/	6210
1562	MIND	mind	51172	1a/10.0	84
1563	PYTHON	python	11510	2a.1/12	1189
1564	LAZY	lazy	226218	5c/3.1	3866
1565	HEAVEN	heaven	9136	2c.1/3	2176
1566	GUN	gun	201533	9e/	6232
1567	DOOR	door	197963	9c/3	5919
1568	ARRANGE	arrange	1425	4e.3/	3482
1569	CHEESE	cheese	35928	9b/	5819
157	DYE	dye	213212	9a/	5680
1570	EQUAL	equal	170528	5c/5.1	3979
1571	SELL	sell	211427	4f.4/	3591
1572	SURPRISED	surprised	55652	5d/1.9.1	4448
1573	SWELL	swell	2023	1b/1.5.2	857
1574	FLOAT	float	218618	4b.3/5	3096
1575	COCKROACH	cockroach	271849	2a.1/14	1243
1577	AND	and	167	8/1.2.1	5467
1578	IGUANA	iguana	318888	2a.1/12	1186
1579	BE	be	1452	5b/1.2.3	3663
158	PUT ON	clothe	10930	3c/2.1	2678
1580	ONLY	only	2170	5c/6.1	4043
1583	BRAIN	brain	521	1a/2.4	134
1584	BLISTER	blister	16702	1a/6.5.3	533
1585	SLEEP	sleep	209642	1b/1.4.1	835
1587	SMELL (STINK)	stink	45749	5c/4.5	3963
1588	TURN	turn	2052	4b.4/6	3261
159	SWEET POTATO	sweet-potato	122385	2b.1/3.2	1584
1590	WAIT (FOR)	wait	215966	4a/1.6	2799
1591	UP	up	931	6j/1	5265
1592	CHEST	chest	193067	1a/4.4.2	305
1593	DEEP	deep	220964	5c/2.2	3785
1594	FLOUR	flour	199901	2b.1/3.3.2	1732
1595	SOUTH	south	182459	6j/8	5330
